Vocabulary Size:  27710
Total number of model parameters: 68.61M
| epoch   4 |  4000/15983 batches | lr 20.00 | ms/batch 32.91 | loss  5.47 | ppl   236.83
| epoch   4 |  4500/15983 batches | lr 20.00 | ms/batch 32.89 | loss  5.48 | ppl   240.94
| epoch   4 |  5000/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.48 | ppl   239.18
| epoch   4 |  5500/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.47 | ppl   237.98
| epoch   4 |  6000/15983 batches | lr 20.00 | ms/batch 32.80 | loss  5.49 | ppl   242.24
| epoch   4 |  6500/15983 batches | lr 20.00 | ms/batch 32.79 | loss  5.45 | ppl   233.40
| epoch   4 |  7000/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.48 | ppl   239.96
| epoch   4 |  7500/15983 batches | lr 20.00 | ms/batch 32.83 | loss  6.49 | ppl   656.14
| epoch   4 |  8000/15983 batches | lr 20.00 | ms/batch 32.91 | loss 18.44 | ppl 101713195.96
| epoch   4 |  8500/15983 batches | lr 20.00 | ms/batch 32.89 | loss 18.59 | ppl 118086492.84
| epoch   4 |  9000/15983 batches | lr 20.00 | ms/batch 32.87 | loss 17.38 | ppl 35365991.32
| epoch   4 |  9500/15983 batches | lr 20.00 | ms/batch 32.84 | loss 15.98 | ppl 8693214.70
| epoch   4 | 10000/15983 batches | lr 20.00 | ms/batch 32.82 | loss 15.37 | ppl 4724148.10
| epoch   4 | 10500/15983 batches | lr 20.00 | ms/batch 32.78 | loss 13.76 | ppl 943371.31
| epoch   4 | 11000/15983 batches | lr 20.00 | ms/batch 32.76 | loss 12.30 | ppl 218916.37
| epoch   4 | 11500/15983 batches | lr 20.00 | ms/batch 32.77 | loss 11.78 | ppl 130016.52
| epoch   4 | 12000/15983 batches | lr 20.00 | ms/batch 32.78 | loss 11.20 | ppl 72934.28
| epoch   4 | 12500/15983 batches | lr 20.00 | ms/batch 32.77 | loss 10.89 | ppl 53677.29
| epoch   4 | 13000/15983 batches | lr 20.00 | ms/batch 32.80 | loss 10.39 | ppl 32577.72
| epoch   4 | 13500/15983 batches | lr 20.00 | ms/batch 32.80 | loss 10.12 | ppl 24781.54
| epoch   4 | 14000/15983 batches | lr 20.00 | ms/batch 32.81 | loss  9.77 | ppl 17463.03
| epoch   4 | 14500/15983 batches | lr 20.00 | ms/batch 32.77 | loss  9.63 | ppl 15184.69
| epoch   4 | 15000/15983 batches | lr 20.00 | ms/batch 32.77 | loss  9.29 | ppl 10874.20
| epoch   4 | 15500/15983 batches | lr 20.00 | ms/batch 32.77 | loss  9.21 | ppl 10000.55
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 527.52s | valid loss  6.68 | valid ppl   794.14
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 5.00 | ms/batch 32.80 | loss  6.89 | ppl   981.99
| epoch   5 |  1000/15983 batches | lr 5.00 | ms/batch 32.72 | loss  6.83 | ppl   928.74
| epoch   5 |  1500/15983 batches | lr 5.00 | ms/batch 32.75 | loss  6.86 | ppl   953.51
| epoch   5 |  2000/15983 batches | lr 5.00 | ms/batch 32.76 | loss  6.77 | ppl   872.87
| epoch   5 |  2500/15983 batches | lr 5.00 | ms/batch 32.77 | loss  6.71 | ppl   818.27
| epoch   5 |  3000/15983 batches | lr 5.00 | ms/batch 32.78 | loss  6.78 | ppl   878.64
| epoch   5 |  3500/15983 batches | lr 5.00 | ms/batch 32.79 | loss  6.77 | ppl   872.98
| epoch   5 |  4000/15983 batches | lr 5.00 | ms/batch 32.79 | loss  6.79 | ppl   888.73
| epoch   5 |  4500/15983 batches | lr 5.00 | ms/batch 32.77 | loss  6.79 | ppl   890.64
| epoch   5 |  5000/15983 batches | lr 5.00 | ms/batch 32.75 | loss  6.79 | ppl   891.97
| epoch   5 |  5500/15983 batches | lr 5.00 | ms/batch 32.71 | loss  6.72 | ppl   824.84
| epoch   5 |  6000/15983 batches | lr 5.00 | ms/batch 32.73 | loss  6.71 | ppl   820.19
| epoch   5 |  6500/15983 batches | lr 5.00 | ms/batch 32.76 | loss  6.66 | ppl   778.15
| epoch   5 |  7000/15983 batches | lr 5.00 | ms/batch 32.71 | loss  6.68 | ppl   793.14
| epoch   5 |  7500/15983 batches | lr 5.00 | ms/batch 32.74 | loss  6.62 | ppl   753.35
| epoch   5 |  8000/15983 batches | lr 5.00 | ms/batch 32.77 | loss  6.71 | ppl   818.52
| epoch   5 |  8500/15983 batches | lr 5.00 | ms/batch 32.76 | loss  6.62 | ppl   748.83
| epoch   5 |  9000/15983 batches | lr 5.00 | ms/batch 32.79 | loss  6.55 | ppl   701.07
| epoch   5 |  9500/15983 batches | lr 5.00 | ms/batch 32.77 | loss  6.55 | ppl   702.71
| epoch   5 | 10000/15983 batches | lr 5.00 | ms/batch 32.72 | loss  6.54 | ppl   690.35
| epoch   5 | 10500/15983 batches | lr 5.00 | ms/batch 32.71 | loss  6.56 | ppl   702.87
| epoch   5 | 11000/15983 batches | lr 5.00 | ms/batch 32.70 | loss  6.55 | ppl   696.18
| epoch   5 | 11500/15983 batches | lr 5.00 | ms/batch 32.68 | loss  6.53 | ppl   684.38
| epoch   5 | 12000/15983 batches | lr 5.00 | ms/batch 32.62 | loss  6.49 | ppl   657.93
| epoch   5 | 12500/15983 batches | lr 5.00 | ms/batch 32.63 | loss  6.45 | ppl   629.88
| epoch   5 | 13000/15983 batches | lr 5.00 | ms/batch 32.66 | loss  6.48 | ppl   654.33
| epoch   5 | 13500/15983 batches | lr 5.00 | ms/batch 32.74 | loss  6.50 | ppl   664.84
| epoch   5 | 14000/15983 batches | lr 5.00 | ms/batch 32.78 | loss  6.51 | ppl   671.12
| epoch   5 | 14500/15983 batches | lr 5.00 | ms/batch 32.74 | loss  6.41 | ppl   606.04
| epoch   5 | 15000/15983 batches | lr 5.00 | ms/batch 32.70 | loss  6.38 | ppl   587.19
| epoch   5 | 15500/15983 batches | lr 5.00 | ms/batch 32.65 | loss  6.39 | ppl   596.85
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 526.04s | valid loss  5.98 | valid ppl   396.68
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 1.25 | ms/batch 32.82 | loss  6.20 | ppl   491.12
| epoch   6 |  1000/15983 batches | lr 1.25 | ms/batch 32.68 | loss  6.19 | ppl   488.08
| epoch   6 |  1500/15983 batches | lr 1.25 | ms/batch 32.60 | loss  6.25 | ppl   517.18
| epoch   6 |  2000/15983 batches | lr 1.25 | ms/batch 32.59 | loss  6.16 | ppl   472.19
| epoch   6 |  2500/15983 batches | lr 1.25 | ms/batch 32.72 | loss  6.10 | ppl   446.37
| epoch   6 |  3000/15983 batches | lr 1.25 | ms/batch 32.72 | loss  6.18 | ppl   480.69
| epoch   6 |  3500/15983 batches | lr 1.25 | ms/batch 32.74 | loss  6.21 | ppl   495.49
| epoch   6 |  4000/15983 batches | lr 1.25 | ms/batch 32.73 | loss  6.23 | ppl   507.49
| epoch   6 |  4500/15983 batches | lr 1.25 | ms/batch 32.72 | loss  6.25 | ppl   517.06
| epoch   6 |  5000/15983 batches | lr 1.25 | ms/batch 32.67 | loss  6.25 | ppl   516.97
| epoch   6 |  5500/15983 batches | lr 1.25 | ms/batch 32.67 | loss  6.21 | ppl   495.50
| epoch   6 |  6000/15983 batches | lr 1.25 | ms/batch 32.66 | loss  6.22 | ppl   504.85
| epoch   6 |  6500/15983 batches | lr 1.25 | ms/batch 32.66 | loss  6.17 | ppl   477.44
| epoch   6 |  7000/15983 batches | lr 1.25 | ms/batch 32.58 | loss  6.20 | ppl   493.09
| epoch   6 |  7500/15983 batches | lr 1.25 | ms/batch 32.61 | loss  6.17 | ppl   476.56
| epoch   6 |  8000/15983 batches | lr 1.25 | ms/batch 32.70 | loss  6.23 | ppl   508.73
| epoch   6 |  8500/15983 batches | lr 1.25 | ms/batch 32.72 | loss  6.17 | ppl   475.89
| epoch   6 |  9000/15983 batches | lr 1.25 | ms/batch 32.71 | loss  6.12 | ppl   456.93
| epoch   6 |  9500/15983 batches | lr 1.25 | ms/batch 32.72 | loss  6.13 | ppl   459.89
| epoch   6 | 10000/15983 batches | lr 1.25 | ms/batch 32.68 | loss  6.14 | ppl   463.99
| epoch   6 | 10500/15983 batches | lr 1.25 | ms/batch 32.68 | loss  6.16 | ppl   475.01
| epoch   6 | 11000/15983 batches | lr 1.25 | ms/batch 32.68 | loss  6.16 | ppl   472.25
| epoch   6 | 11500/15983 batches | lr 1.25 | ms/batch 32.68 | loss  6.15 | ppl   468.43
| epoch   6 | 12000/15983 batches | lr 1.25 | ms/batch 32.66 | loss  6.11 | ppl   451.31
| epoch   6 | 12500/15983 batches | lr 1.25 | ms/batch 32.60 | loss  6.07 | ppl   431.72
| epoch   6 | 13000/15983 batches | lr 1.25 | ms/batch 32.62 | loss  6.10 | ppl   447.53
| epoch   6 | 13500/15983 batches | lr 1.25 | ms/batch 32.69 | loss  6.15 | ppl   469.10
| epoch   6 | 14000/15983 batches | lr 1.25 | ms/batch 32.70 | loss  6.17 | ppl   478.21
| epoch   6 | 14500/15983 batches | lr 1.25 | ms/batch 32.68 | loss  6.06 | ppl   427.07
| epoch   6 | 15000/15983 batches | lr 1.25 | ms/batch 32.71 | loss  6.01 | ppl   408.52
| epoch   6 | 15500/15983 batches | lr 1.25 | ms/batch 32.68 | loss  6.06 | ppl   427.59
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 525.20s | valid loss  5.88 | valid ppl   359.42
-----------------------------------------------------------------------------------------
| epoch   7 |   500/15983 batches | lr 0.31 | ms/batch 32.76 | loss  6.08 | ppl   437.06
| epoch   7 |  1000/15983 batches | lr 0.31 | ms/batch 32.74 | loss  6.10 | ppl   446.96
| epoch   7 |  1500/15983 batches | lr 0.31 | ms/batch 32.64 | loss  6.17 | ppl   479.86
| epoch   7 |  2000/15983 batches | lr 0.31 | ms/batch 32.63 | loss  6.09 | ppl   443.04
| epoch   7 |  2500/15983 batches | lr 0.31 | ms/batch 32.72 | loss  6.02 | ppl   410.19
| epoch   7 |  3000/15983 batches | lr 0.31 | ms/batch 32.76 | loss  6.10 | ppl   446.68
| epoch   7 |  3500/15983 batches | lr 0.31 | ms/batch 32.74 | loss  6.12 | ppl   456.75
| epoch   7 |  4000/15983 batches | lr 0.31 | ms/batch 32.71 | loss  6.16 | ppl   473.29
| epoch   7 |  4500/15983 batches | lr 0.31 | ms/batch 32.68 | loss  6.18 | ppl   484.02
| epoch   7 |  5000/15983 batches | lr 0.31 | ms/batch 32.68 | loss  6.17 | ppl   480.18
| epoch   7 |  5500/15983 batches | lr 0.31 | ms/batch 32.65 | loss  6.14 | ppl   464.17
| epoch   7 |  6000/15983 batches | lr 0.31 | ms/batch 32.67 | loss  6.17 | ppl   476.60
| epoch   7 |  6500/15983 batches | lr 0.31 | ms/batch 32.66 | loss  6.11 | ppl   451.59
| epoch   7 |  7000/15983 batches | lr 0.31 | ms/batch 32.57 | loss  6.15 | ppl   467.62
| epoch   7 |  7500/15983 batches | lr 0.31 | ms/batch 32.55 | loss  6.11 | ppl   449.32
| epoch   7 |  8000/15983 batches | lr 0.31 | ms/batch 32.68 | loss  6.17 | ppl   479.39
| epoch   7 |  8500/15983 batches | lr 0.31 | ms/batch 32.68 | loss  6.11 | ppl   449.57
| epoch   7 |  9000/15983 batches | lr 0.31 | ms/batch 32.72 | loss  6.08 | ppl   437.25
| epoch   7 |  9500/15983 batches | lr 0.31 | ms/batch 32.67 | loss  6.09 | ppl   443.59
| epoch   7 | 10000/15983 batches | lr 0.31 | ms/batch 32.65 | loss  6.11 | ppl   450.41
| epoch   7 | 10500/15983 batches | lr 0.31 | ms/batch 32.65 | loss  6.12 | ppl   454.56
| epoch   7 | 11000/15983 batches | lr 0.31 | ms/batch 32.65 | loss  6.12 | ppl   453.82
| epoch   7 | 11500/15983 batches | lr 0.31 | ms/batch 32.69 | loss  6.10 | ppl   447.95
| epoch   7 | 12000/15983 batches | lr 0.31 | ms/batch 32.69 | loss  6.06 | ppl   427.66
| epoch   7 | 12500/15983 batches | lr 0.31 | ms/batch 32.62 | loss  6.02 | ppl   412.32
| epoch   7 | 13000/15983 batches | lr 0.31 | ms/batch 32.69 | loss  6.06 | ppl   430.28
| epoch   7 | 13500/15983 batches | lr 0.31 | ms/batch 32.80 | loss  6.11 | ppl   449.40
| epoch   7 | 14000/15983 batches | lr 0.31 | ms/batch 32.77 | loss  6.12 | ppl   457.04
| epoch   7 | 14500/15983 batches | lr 0.31 | ms/batch 32.75 | loss  6.02 | ppl   412.14
| epoch   7 | 15000/15983 batches | lr 0.31 | ms/batch 32.71 | loss  5.98 | ppl   396.68
| epoch   7 | 15500/15983 batches | lr 0.31 | ms/batch 32.65 | loss  6.03 | ppl   417.09
-----------------------------------------------------------------------------------------
| end of epoch   7 | time: 525.28s | valid loss  5.86 | valid ppl   350.07
-----------------------------------------------------------------------------------------
| epoch   8 |   500/15983 batches | lr 0.08 | ms/batch 32.77 | loss  6.04 | ppl   419.23
| epoch   8 |  1000/15983 batches | lr 0.08 | ms/batch 32.71 | loss  6.08 | ppl   435.05
| epoch   8 |  1500/15983 batches | lr 0.08 | ms/batch 32.60 | loss  6.15 | ppl   470.20
| epoch   8 |  2000/15983 batches | lr 0.08 | ms/batch 32.58 | loss  6.07 | ppl   433.31
| epoch   8 |  2500/15983 batches | lr 0.08 | ms/batch 32.62 | loss  6.00 | ppl   402.50
| epoch   8 |  3000/15983 batches | lr 0.08 | ms/batch 32.73 | loss  6.08 | ppl   438.89
| epoch   8 |  3500/15983 batches | lr 0.08 | ms/batch 32.70 | loss  6.11 | ppl   448.28
| epoch   8 |  4000/15983 batches | lr 0.08 | ms/batch 32.65 | loss  6.13 | ppl   459.77
| epoch   8 |  4500/15983 batches | lr 0.08 | ms/batch 32.65 | loss  6.17 | ppl   479.59
| epoch   8 |  5000/15983 batches | lr 0.08 | ms/batch 32.64 | loss  6.18 | ppl   482.30
| epoch   8 |  5500/15983 batches | lr 0.08 | ms/batch 33.58 | loss  6.15 | ppl   470.34
| epoch   8 |  6000/15983 batches | lr 0.08 | ms/batch 33.00 | loss  6.17 | ppl   477.61
| epoch   8 |  6500/15983 batches | lr 0.08 | ms/batch 35.34 | loss  6.10 | ppl   446.48
| epoch   8 |  7000/15983 batches | lr 0.08 | ms/batch 32.66 | loss  6.14 | ppl   465.09
| epoch   8 |  7500/15983 batches | lr 0.08 | ms/batch 32.74 | loss  6.11 | ppl   451.34
| epoch   8 |  8000/15983 batches | lr 0.08 | ms/batch 32.81 | loss  6.17 | ppl   477.01
| epoch   8 |  8500/15983 batches | lr 0.08 | ms/batch 32.82 | loss  6.11 | ppl   450.39
| epoch   8 |  9000/15983 batches | lr 0.08 | ms/batch 32.79 | loss  6.08 | ppl   437.69
| epoch   8 |  9500/15983 batches | lr 0.08 | ms/batch 32.62 | loss  6.10 | ppl   448.08
| epoch   8 | 10000/15983 batches | lr 0.08 | ms/batch 32.48 | loss  6.12 | ppl   455.84
| epoch   8 | 10500/15983 batches | lr 0.08 | ms/batch 32.39 | loss  6.12 | ppl   456.92
| epoch   8 | 11000/15983 batches | lr 0.08 | ms/batch 32.40 | loss  6.12 | ppl   457.01
| epoch   8 | 11500/15983 batches | lr 0.08 | ms/batch 32.37 | loss  6.11 | ppl   451.48
| epoch   8 | 12000/15983 batches | lr 0.08 | ms/batch 32.31 | loss  6.07 | ppl   431.24
| epoch   8 | 12500/15983 batches | lr 0.08 | ms/batch 32.33 | loss  6.04 | ppl   419.06
| epoch   8 | 13000/15983 batches | lr 0.08 | ms/batch 32.54 | loss  6.07 | ppl   431.57
| epoch   8 | 13500/15983 batches | lr 0.08 | ms/batch 32.61 | loss  6.11 | ppl   448.50
| epoch   8 | 14000/15983 batches | lr 0.08 | ms/batch 32.67 | loss  6.13 | ppl   458.65
| epoch   8 | 14500/15983 batches | lr 0.08 | ms/batch 32.76 | loss  6.03 | ppl   413.71
| epoch   8 | 15000/15983 batches | lr 0.08 | ms/batch 32.80 | loss  6.00 | ppl   401.45
| epoch   8 | 15500/15983 batches | lr 0.08 | ms/batch 32.78 | loss  6.04 | ppl   417.88
-----------------------------------------------------------------------------------------
| end of epoch   8 | time: 526.48s | valid loss  5.85 | valid ppl   345.63
-----------------------------------------------------------------------------------------
| epoch   9 |   500/15983 batches | lr 0.02 | ms/batch 32.77 | loss  6.03 | ppl   417.06
| epoch   9 |  1000/15983 batches | lr 0.02 | ms/batch 32.77 | loss  6.06 | ppl   428.72
