Vocabulary Size:  27710
Total number of model parameters: 50.60M
| epoch   6 | 12500/15983 batches | lr 1.25 | ms/batch 24.02 | loss  7.65 | ppl  2103.19
| epoch   6 | 13000/15983 batches | lr 1.25 | ms/batch 24.07 | loss  7.74 | ppl  2298.77
| epoch   6 | 13500/15983 batches | lr 1.25 | ms/batch 24.05 | loss  7.75 | ppl  2329.35
| epoch   6 | 14000/15983 batches | lr 1.25 | ms/batch 24.04 | loss  7.77 | ppl  2375.99
| epoch   6 | 14500/15983 batches | lr 1.25 | ms/batch 24.05 | loss  7.64 | ppl  2072.59
| epoch   6 | 15000/15983 batches | lr 1.25 | ms/batch 24.03 | loss  7.63 | ppl  2052.76
| epoch   6 | 15500/15983 batches | lr 1.25 | ms/batch 24.05 | loss  7.67 | ppl  2132.51
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 386.83s | valid loss  6.95 | valid ppl  1045.92
-----------------------------------------------------------------------------------------
| epoch   7 |   500/15983 batches | lr 0.31 | ms/batch 24.08 | loss  7.05 | ppl  1153.60
| epoch   7 |  1000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.06 | ppl  1159.94
| epoch   7 |  1500/15983 batches | lr 0.31 | ms/batch 24.08 | loss  7.09 | ppl  1204.62
| epoch   7 |  2000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  6.99 | ppl  1089.96
| epoch   7 |  2500/15983 batches | lr 0.31 | ms/batch 24.07 | loss  6.90 | ppl   995.83
| epoch   7 |  3000/15983 batches | lr 0.31 | ms/batch 24.06 | loss  7.01 | ppl  1110.90
| epoch   7 |  3500/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.03 | ppl  1126.42
| epoch   7 |  4000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.07 | ppl  1172.46
| epoch   7 |  4500/15983 batches | lr 0.31 | ms/batch 24.05 | loss  7.09 | ppl  1196.90
| epoch   7 |  5000/15983 batches | lr 0.31 | ms/batch 24.05 | loss  7.10 | ppl  1213.79
| epoch   7 |  5500/15983 batches | lr 0.31 | ms/batch 24.08 | loss  7.06 | ppl  1160.04
| epoch   7 |  6000/15983 batches | lr 0.31 | ms/batch 24.09 | loss  7.06 | ppl  1165.63
| epoch   7 |  6500/15983 batches | lr 0.31 | ms/batch 24.05 | loss  7.00 | ppl  1093.72
| epoch   7 |  7000/15983 batches | lr 0.31 | ms/batch 24.08 | loss  7.03 | ppl  1129.15
| epoch   7 |  7500/15983 batches | lr 0.31 | ms/batch 24.06 | loss  7.00 | ppl  1097.53
| epoch   7 |  8000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.08 | ppl  1184.96
| epoch   7 |  8500/15983 batches | lr 0.31 | ms/batch 24.06 | loss  7.00 | ppl  1094.10
| epoch   7 |  9000/15983 batches | lr 0.31 | ms/batch 24.06 | loss  6.94 | ppl  1033.01
| epoch   7 |  9500/15983 batches | lr 0.31 | ms/batch 24.07 | loss  6.98 | ppl  1071.79
| epoch   7 | 10000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.00 | ppl  1092.90
| epoch   7 | 10500/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.01 | ppl  1107.13
| epoch   7 | 11000/15983 batches | lr 0.31 | ms/batch 24.09 | loss  7.00 | ppl  1094.68
| epoch   7 | 11500/15983 batches | lr 0.31 | ms/batch 24.07 | loss  6.99 | ppl  1084.78
| epoch   7 | 12000/15983 batches | lr 0.31 | ms/batch 24.05 | loss  6.95 | ppl  1041.05
| epoch   7 | 12500/15983 batches | lr 0.31 | ms/batch 24.05 | loss  6.91 | ppl  1004.85
| epoch   7 | 13000/15983 batches | lr 0.31 | ms/batch 24.05 | loss  6.96 | ppl  1054.43
| epoch   7 | 13500/15983 batches | lr 0.31 | ms/batch 24.08 | loss  6.99 | ppl  1083.34
| epoch   7 | 14000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.02 | ppl  1114.29
| epoch   7 | 14500/15983 batches | lr 0.31 | ms/batch 24.07 | loss  6.90 | ppl   991.28
| epoch   7 | 15000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  6.88 | ppl   973.28
| epoch   7 | 15500/15983 batches | lr 0.31 | ms/batch 24.07 | loss  6.92 | ppl  1008.11
-----------------------------------------------------------------------------------------
| end of epoch   7 | time: 386.70s | valid loss  6.71 | valid ppl   819.77
-----------------------------------------------------------------------------------------
| epoch   8 |   500/15983 batches | lr 0.31 | ms/batch 24.11 | loss  7.01 | ppl  1108.74
| epoch   8 |  1000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.03 | ppl  1128.35
| epoch   8 |  1500/15983 batches | lr 0.31 | ms/batch 24.10 | loss  7.07 | ppl  1171.49
| epoch   8 |  2000/15983 batches | lr 0.31 | ms/batch 24.10 | loss  6.97 | ppl  1068.29
| epoch   8 |  2500/15983 batches | lr 0.31 | ms/batch 24.10 | loss  6.88 | ppl   976.84
| epoch   8 |  3000/15983 batches | lr 0.31 | ms/batch 24.11 | loss  6.99 | ppl  1088.63
| epoch   8 |  3500/15983 batches | lr 0.31 | ms/batch 24.12 | loss  7.01 | ppl  1104.54
| epoch   8 |  4000/15983 batches | lr 0.31 | ms/batch 24.12 | loss  7.05 | ppl  1150.17
| epoch   8 |  4500/15983 batches | lr 0.31 | ms/batch 24.11 | loss  7.07 | ppl  1172.63
| epoch   8 |  5000/15983 batches | lr 0.31 | ms/batch 24.14 | loss  7.09 | ppl  1196.79
| epoch   8 |  5500/15983 batches | lr 0.31 | ms/batch 24.13 | loss  7.04 | ppl  1137.06
| epoch   8 |  6000/15983 batches | lr 0.31 | ms/batch 24.14 | loss  7.05 | ppl  1147.26
| epoch   8 |  6500/15983 batches | lr 0.31 | ms/batch 24.12 | loss  6.98 | ppl  1079.11
| epoch   8 |  7000/15983 batches | lr 0.31 | ms/batch 24.09 | loss  7.02 | ppl  1116.11
| epoch   8 |  7500/15983 batches | lr 0.31 | ms/batch 24.11 | loss  6.99 | ppl  1086.88
| epoch   8 |  8000/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.06 | ppl  1167.60
| epoch   8 |  8500/15983 batches | lr 0.31 | ms/batch 24.06 | loss  6.99 | ppl  1081.00
| epoch   8 |  9000/15983 batches | lr 0.31 | ms/batch 24.10 | loss  6.93 | ppl  1022.11
| epoch   8 |  9500/15983 batches | lr 0.31 | ms/batch 24.09 | loss  6.96 | ppl  1055.29
| epoch   8 | 10000/15983 batches | lr 0.31 | ms/batch 24.09 | loss  6.98 | ppl  1077.40
| epoch   8 | 10500/15983 batches | lr 0.31 | ms/batch 24.07 | loss  7.00 | ppl  1096.94
| epoch   8 | 11000/15983 batches | lr 0.31 | ms/batch 24.08 | loss  6.99 | ppl  1083.97
| epoch   8 | 11500/15983 batches | lr 0.31 | ms/batch 24.08 | loss  6.97 | ppl  1068.77
| epoch   8 | 12000/15983 batches | lr 0.31 | ms/batch 24.11 | loss  6.94 | ppl  1031.06
| epoch   8 | 12500/15983 batches | lr 0.31 | ms/batch 24.09 | loss  6.90 | ppl   993.58
| epoch   8 | 13000/15983 batches | lr 0.31 | ms/batch 24.12 | loss  6.95 | ppl  1041.75
| epoch   8 | 13500/15983 batches | lr 0.31 | ms/batch 24.09 | loss  6.98 | ppl  1072.89
